City-Name,Description,Temperature,Feels Like Temperature,Min Temperature,Max Temperature,Humidity,Clouds
Patna,haze,85.93,90.27,85.93,85.93,58,1
Delhi,haze,84.29,85.73,84.29,84.29,51,0
Goa,few clouds,82.78,91.65,82.78,82.78,83,12
Bengaluru,broken clouds,73.04,73.47,73.04,75.02,73,75
Hyderabad,scattered clouds,84.61,88,84.61,85.51,58,40
Jaipur,haze,88.92,85.51,88.92,88.92,22,0
Punjab,clear sky,79.61,79.61,79.61,79.61,14,0
Lucknow,haze,82.38,82.29,82.38,82.38,44,0
Srinagar,few clouds,58.96,56.53,58.96,58.96,42,13
Kolkata,haze,82.35,89.1,82.35,82.35,78,20
